INPUT:id	INPUT:text	OUTPUT:source	GOLDEN:source	HINT:text	ASSIGNMENT:link	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
1620	День радиотехнических войск Воздушно-космических сил России отмечается в России 15 декабря <br> <br>Радиотехнические войска предназначены для ведения радиолокационной разведки воздушного противника и выдачи радиолокационной информации о воздушной обстановке органам управления ВКС и других видов и родов войск Вооруженных Сил Российской Федерации, на пункты управления соединений, воинских частей и подразделений авиации, зенитных ракетных войск и радиоэлектронной борьбы при решении ими задач мирного и военного времени. <br> <br>Радиотехнические войска — высокотехнологичный род войск, оснащенный современными сложными и дорогостоящими образцами вооружения и военной техники. Это требует соответствующего уровня образования и подготовки специалистов по эксплуатации радиоэлектронной техники. Сегодня для оснащения РТВ ВВС России закупается перспективная и современная радиоэлектронная техника, в частности, радиолокационные комплексы (РЛК) «Небо», РЛС «Противник», «Гамма», «Сопка», «Каста», системы средств автоматизации «Фундамент», «Крым». <br> <br>Радиотехнические войска ВВС имеют богатую историю обеспечения приземления отечественных космических аппаратов, в том числе посадки первого космонавта Земли — Юрия Гагарина, советского космического корабля многоразового использования «Буран». Военнослужащие РТВ выполняли интернациональный долг в Китае и Северной Корее, Вьетнаме и Египте, Сирии и Анголе, на Кубе и в Афганистане и ряде других стран. <br> <br>#Минобороны #ДеньРТВ #ВКС #Праздники	mil			https://toloka.yandex.ru/task/21860840/00014d91e8--603bd6128f5d4e00e54928be	00014d91e8--603bd6128f5d4e00e54928be	f2ca3d107543223122d74437faf968dd	APPROVED	2021-02-28T17:42:42.405
1621	Полицейские ЮВАО задержали подозреваемого в сбыте наркотиков <br> <br>Сотрудники отделения по контролю за оборотом наркотиков УВД по ЮВАО на улице Полбина задержали подозреваемого в сбыте наркотиков. <br> <br>#МВД #Петровка38 #полиция #новости #ювао #наркотики<br><br>https://youtu.be/VQfCVdyc5Zw	mospolice			https://toloka.yandex.ru/task/21860840/00014d91e8--603bd6128f5d4e00e54928be	00014d91e8--603bd6128f5d4e00e54928be	f2ca3d107543223122d74437faf968dd	APPROVED	2021-02-28T17:42:42.405
1622	Почта Новой Зеландии в конце XIX-начале XX веков активно использовала голубей для доставки небольших сообщений. Голубиная линия связывала крупнейший город страны Окленд с некоторыми островами. Сообщения, которые отправляли с голубями, назывались голубеграммы.. <br><br>Голубеграммы имели специальные марки – треугольные, разных номиналов. Одна птица несла до пяти посланий. Самый лучший новозеландский почтовый голубь принес отправления из Окленда на Грейт-Баррьер за 50 минут, что составляет скорость 125 км/ч.<br><br>#марка #НоваяЗеландия	russianpost			https://toloka.yandex.ru/task/21860840/00014d91e8--603bd6128f5d4e00e54928be	00014d91e8--603bd6128f5d4e00e54928be	f2ca3d107543223122d74437faf968dd	APPROVED	2021-02-28T17:42:42.405
1623	Военнослужащие бригады специального назначения Западного военного округа в Псковской области приступили к выполнению прыжков с парашютом <br> <br>Программой подготовки предусмотрено выполнение прыжков в дневное и ночное время с парашютами Д-6 и Д-10 с высоты 600-900 м, а также 1200-1400 м с задержкой раскрытия купола. Кроме того, с спецназовцами будут проведены занятия по загрузке на борт самолета вооружения и военной техники, а также по креплению оружия и снаряжения при десантировании в полной экипировке.  <br> <br>#Минобороны #ЗВО #Спецназ	mil			https://toloka.yandex.ru/task/21860840/00014d91e8--603bd6128f5d4e00e54928be	00014d91e8--603bd6128f5d4e00e54928be	f2ca3d107543223122d74437faf968dd	APPROVED	2021-02-28T17:42:42.405
1624	Океанографическое исследовательское судно «Янтарь» ВМФ России зашло в порт Буэнос-Айреса для планового пополнения всех видов запасов, после чего снова продолжит участие в поисковых операции по обнаружению подводной лодки «Сан Хуан» в Юго-Зпападной части Атлантического океана <br> <br>ОИС «Янтарь», после пересечения Атлантического океана, 6 декабря заняло заданный район поиска, расположенный в районе восточного побережья Аргентины и приступило к обследованию объектов, которые были ранее обнаружены телеуправляемым необитаемым подводным аппаратом «Пантера Плюс» ВМФ России. <br><br>#Минобороны #ВМФ #СанХуан #ОИС_Янтарь #МеждународнаяДеятельность	mil			https://toloka.yandex.ru/task/21860840/00014d91e8--603bd6128f5d4e00e54928be	00014d91e8--603bd6128f5d4e00e54928be	f2ca3d107543223122d74437faf968dd	APPROVED	2021-02-28T17:42:42.405
1625	"#СМИобМЧС <br><br>На ВДНХ торжественно отметили 80-й выпуск Академии противопожарной службы МЧС.<br><br>Более 300 выпускников и преподавателей собрались у фонтана ""Дружба народов"", где глава МЧС Владимир Пучков вручил отличникам офицерские погоны и дипломы.<br><br>http://www.vesti.ru/doc.html?id=2769744"	mchsgov			https://toloka.yandex.ru/task/21860840/00014d91e8--603bd6128f5d4e00e54928be	00014d91e8--603bd6128f5d4e00e54928be	f2ca3d107543223122d74437faf968dd	APPROVED	2021-02-28T17:42:42.405
1626	"На востоке Москвы сотрудник Госавтоинспекции спас женщину с ребенком от сожителя <br><br>""В столичном районе Богородское инспектор ОБ ДПС ГИБДД УВД по ВАО ГУ МВД России по г. Москве задержал подозреваемого в угрозе убийством"", – сообщила официальный представитель МВД России Ирина Волк. <br> <br>Сотрудник полиции, патрулируя территорию на служебном мотоцикле, увидел мужчину, бегущего с ножом за женщиной с маленьким ребёнком. Полицейский немедленно остановился, подбежал к злодею и выбил у него нож, которым он замахнулся на женщину, а затем задержал нападавшего. <br> <br>Как оказалось, задержанный – 36-летний житель столицы, находящийся в состоянии алкогольного опьянения, рассердился на свою бывшую гражданскую супругу, которая отказалась передать ему ключи от ее личной автомашины. <br> <br>По факту произошедшего возбуждено уголовное дело по признакам преступления, предусмотренного ст. 119 УК РФ. <br> <br>Подозреваемому избрана мера пресечения в виде подписки о невыезде.<br><br>#police #mvdrussia #МВД #мвдроссии #полиция #полицияроссии #мвд77 #петровка38 #новости"	mospolice			https://toloka.yandex.ru/task/21860840/00014d91e8--603bd6128f5d4e00e54928be	00014d91e8--603bd6128f5d4e00e54928be	f2ca3d107543223122d74437faf968dd	APPROVED	2021-02-28T17:42:42.405
1627	На вооружение отдельной мотострелковой бригады СФ поступили гусеничные плавающие снегоболотоходы ГАЗ-3344-20 «Алеут». Машины прошли испытания в арктических условиях и были доработаны с учетом полученных рекомендаций по эксплуатации в данной климатической зоне. <br> <br>Вездеход ГАЗ-3344-20 «Алеут» выполнен по модульной схеме: переднее звено - энергетический модуль, в котором могут перевозиться 5 человек, включая водителя, заднее звено - трансформируемый пассажирский модуль вместимостью 15 человек, который может быть переоборудован под спальный, медицинский блок или командный пункт, его полезная нагрузка составила 2500 кг. <br> <br>Температурный режим эксплуатации составляет от минус до плюс 50 градусов по Цельсию. ГАЗ-3344-20 «Алеут» способен преодолевать водные преграды, движение на плаву осуществляется при помощи гусеничного движителя. Машина оснащена предпусковым подогревателем двигателя и топлива, оборудована системой обогрева салонов. <br> <br>#Минобороны #СФ #Алеут	mil			https://toloka.yandex.ru/task/21860840/00014d91e8--603bd6128f5d4e00e54928be	00014d91e8--603bd6128f5d4e00e54928be	f2ca3d107543223122d74437faf968dd	APPROVED	2021-02-28T17:42:42.405
1628	Великие Луки не зря считаются столицей воздухоплавания России – даже почту здесь доставляют на аэростатах, пусть даже и раз в году. <br><br>Во время проведения Международных встреч воздухоплавателей жители и гости города могут приобрести сувенирные открытки, погасить их специальным штемпелем, а затем отправить свою корреспонденцию баллонной почтой. На борту отправления будут проштампованы еще раз: на штампе указывают название аэростата, направление полета, информацию о пилоте, время старта и приземления аэростата, расстояние и максимальную высоту полета. После завершения полета корреспонденция передается в ближайшее отделение связи и доставляется адресатам уже по обычным маршрутам. <br><br>Если будете в Великих Луках, зайдите в 13-ое отделение почтовой связи – до конца недели здесь можно поставить художественный оттиск штемпеля с изображением символики Воздухоплавания-2015, который станет прекрасным украшением коллекции любого филателиста.	russianpost			https://toloka.yandex.ru/task/21860840/00014d91e8--603bd6128f5d4e00e54928be	00014d91e8--603bd6128f5d4e00e54928be	f2ca3d107543223122d74437faf968dd	APPROVED	2021-02-28T17:42:42.405
1629	Состоялся гала-концерт «Московские полицейские – москвичам» <br><br>Праздничный концерт творческих коллективов ГУ МВД России по г. Москве «Московские полицейские – москвичам» прошел на территории Екатерининского парка. В торжестве приняли участие более 800 жителей столицы. <br> <br>В течение четырех часов перед гостями праздника выступали коллективы творческой самодеятельности ГУ МВД России по г. Москве, а также профессиональные артисты столичного главка, лауреаты всероссийских и международных конкурсов. <br> <br>На концерте прозвучали популярные музыкальные композиции российских и зарубежных авторов от классики до рока в исполнении духового оркестра полиции, оркестра русских народных инструментов «Россияне» во главе с народным артистом России Игорем Баевым, и фолк-шоу группы «Горница» Культурного центра ГУ МВД России по г. Москве, художественным руководителем которой является заслуженный артист России Владимир Уфимцев. В торжестве приняли участие солист Большого национального оперного театра Польши в Варшаве Константин Мошкин, солист хора «Русская песня» Гостелерадио России Дмитрий Чеблыков, лауреат международных конкурсов Каринэ Гаспарян, а также семья Рыжовых: Ольга – заслуженная артистка России, и ее дочь Наталья – обладательница звания «Золотой голос России». <br> <br>Во второй части концерта на сцену вышли сотрудники полиции – победители смотров-конкурсов художественной самодеятельности. Зрители с восторгом встретили выступление полицейских 2-го оперативного полка полиции столичного главка сержанта полиции Артема Барны, Майи Ященко и Сергея Полозова. <br> <br>«Среди полицейских много талантливых певцов и танцоров. Москвичи с интересом относятся к таким мероприятиям и удивляются, когда видят полицейских на сцене, исполняющих народные, патриотические песни, композиции советской эстрады, оперные произведения. Благодаря именно таким мероприятиям сотрудники полиции становятся ближе к гражданам», – отметил начальник Культурного центра ГУ МВД России по г. Москве полковник внутренней службы Юрий Рыбальченко. <br> <br>Также во время торжества все желающие могли сфотографироваться с легендарными экспонатами выставки специальных служебных ретроавтомобилей, которую представили сотрудники УГИБДД ГУ МВД России по г. Москве.<br><br>#МВДРоссии #Петровка38 #полиция #новости #концерт	mospolice			https://toloka.yandex.ru/task/21860840/00014d91e8--603bd6128f5d4e00e54928be	00014d91e8--603bd6128f5d4e00e54928be	f2ca3d107543223122d74437faf968dd	APPROVED	2021-02-28T17:42:42.405
